"Sample","Sample_Description","Variable","Variable_Label","Weighted","Mean (Control)","SD (Control)","N (Control)","Min (Control)","N at Min (Control)","Max (Control)","N at Max (Control)","Count_0 (Control)","Count_1 (Control)","Mean (Treatment)","SD (Treatment)","N (Treatment)","Min (Treatment)","N at Min (Treatment)","Max (Treatment)","N at Max (Treatment)","Count_0 (Treatment)","Count_1 (Treatment)","P-Value (t-test)","Control_Group_Label","Treatment_Group_Label"
"Partisans","Respondents self-identifying as Democrat or Republican (pid7 codes 1-2 or 6-7); Independents (codes 3-5) excluded","age_2012_election","Age in years at the November 2012 presidential election (approximation: 2012 - year_of_birth; PRL provides birth year only)","No",43.7719,14.8755,76676,18,1672,NA,NA,NA,NA,13.0512,2.7059,15032,NA,NA,17,1813,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (pid7 codes 1-2 or 6-7); Independents (codes 3-5) excluded","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from PRL gender variable)","No",0.4429,0.4967,76676,0,42718,1,33958,42718,33958,0.5115,0.4999,15032,0,7343,1,7689,7343,7689,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (pid7 codes 1-2 or 6-7); Independents (codes 3-5) excluded","education","Education level (PRL educ; ordinal 1-6; 1 = No high school, 6 = Post-graduate)","No",3.5538,1.5434,76676,1,2598,6,10845,NA,NA,3.3138,1.4019,15032,1,582,6,897,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (pid7 codes 1-2 or 6-7); Independents (codes 3-5) excluded","income","Household income (PRL faminc_new; ordinal 1-16; 1 = Less than $10,000, 16 = $500,000 or more)","No",6.7027,3.5951,70874,1,3689,16,359,NA,NA,6.5902,3.7339,13088,1,1332,16,139,NA,NA,0.0014,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (pid7 codes 1-2 or 6-7); Independents (codes 3-5) excluded","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 5 PRL items (norm_judges, norm_polling, norm_executive, norm_censorship, norm_loyalty), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.6647,0.2117,73594,0,596,1,2375,NA,NA,0.5526,0.2412,14555,0,274,1,518,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (pid7 codes 1-2)","age_2012_election","Age in years at the November 2012 presidential election (approximation: 2012 - year_of_birth; PRL provides birth year only)","No",42.4317,14.8631,43644,18,985,NA,NA,NA,NA,13.0064,2.7429,10113,NA,NA,17,1224,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (pid7 codes 1-2)","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from PRL gender variable)","No",0.4126,0.4923,43644,0,25635,1,18009,25635,18009,0.4941,0.5,10113,0,5116,1,4997,5116,4997,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (pid7 codes 1-2)","education","Education level (PRL educ; ordinal 1-6; 1 = No high school, 6 = Post-graduate)","No",3.7323,1.5744,43644,1,1434,6,7630,NA,NA,3.3734,1.416,10113,1,388,6,673,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (pid7 codes 1-2)","income","Household income (PRL faminc_new; ordinal 1-16; 1 = Less than $10,000, 16 = $500,000 or more)","No",6.6748,3.6944,40644,1,2474,16,215,NA,NA,6.5827,3.7199,8821,1,897,16,90,NA,NA,0.0349,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (pid7 codes 1-2)","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 5 PRL items (norm_judges, norm_polling, norm_executive, norm_censorship, norm_loyalty), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.6858,0.2158,41804,0,362,1,1402,NA,NA,0.5666,0.2466,9767,0,185,1,385,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (pid7 codes 6-7)","age_2012_election","Age in years at the November 2012 presidential election (approximation: 2012 - year_of_birth; PRL provides birth year only)","No",45.5427,14.7059,33032,18,687,NA,NA,NA,NA,13.1433,2.6262,4919,7,50,17,589,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (pid7 codes 6-7)","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from PRL gender variable)","No",0.4828,0.4997,33032,0,17083,1,15949,17083,15949,0.5473,0.4978,4919,0,2227,1,2692,2227,2692,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (pid7 codes 6-7)","education","Education level (PRL educ; ordinal 1-6; 1 = No high school, 6 = Post-graduate)","No",3.3179,1.4685,33032,1,1164,6,3215,NA,NA,3.1913,1.3642,4919,1,194,6,224,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (pid7 codes 6-7)","income","Household income (PRL faminc_new; ordinal 1-16; 1 = Less than $10,000, 16 = $500,000 or more)","No",6.7402,3.4569,30230,1,1215,16,144,NA,NA,6.6056,3.7631,4267,1,435,16,49,NA,NA,0.0272,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (pid7 codes 6-7)","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 5 PRL items (norm_judges, norm_polling, norm_executive, norm_censorship, norm_loyalty), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.6369,0.2029,31790,0,234,1,973,NA,NA,0.524,0.2272,4788,0,89,1,133,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"In-Power",NA,"age_2012_election","Age in years at the November 2012 presidential election (approximation: 2012 - year_of_birth; PRL provides birth year only)","No",42.958,14.8557,42969,18,941,NA,NA,NA,NA,13.0823,2.7009,9382,NA,NA,17,1182,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"In-Power",NA,"sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from PRL gender variable)","No",0.4235,0.4941,42969,0,24773,1,18196,24773,18196,0.5104,0.4999,9382,0,4593,1,4789,4593,4789,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"In-Power",NA,"education","Education level (PRL educ; ordinal 1-6; 1 = No high school, 6 = Post-graduate)","No",3.6634,1.5641,42969,1,1447,6,6958,NA,NA,3.3231,1.4017,9382,1,376,6,561,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"In-Power",NA,"income","Household income (PRL faminc_new; ordinal 1-16; 1 = Less than $10,000, 16 = $500,000 or more)","No",6.67,3.667,39931,1,2297,16,212,NA,NA,6.5525,3.7213,8179,1,851,16,91,NA,NA,0.0091,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"In-Power",NA,"liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 5 PRL items (norm_judges, norm_polling, norm_executive, norm_censorship, norm_loyalty), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.6663,0.2134,41130,0,364,1,888,NA,NA,0.5497,0.2417,9036,0,183,1,295,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Out-of_Power",NA,"age_2012_election","Age in years at the November 2012 presidential election (approximation: 2012 - year_of_birth; PRL provides birth year only)","No",44.8503,14.84,32849,18,718,NA,NA,NA,NA,13.0164,2.7057,5479,7,90,17,618,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Out-of_Power",NA,"sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from PRL gender variable)","No",0.4686,0.499,32849,0,17456,1,15393,17456,15393,0.5138,0.4999,5479,0,2664,1,2815,2664,2815,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Out-of_Power",NA,"education","Education level (PRL educ; ordinal 1-6; 1 = No high school, 6 = Post-graduate)","No",3.4077,1.5041,32849,1,1134,6,3760,NA,NA,3.2886,1.3967,5479,1,200,6,316,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Out-of_Power",NA,"income","Household income (PRL faminc_new; ordinal 1-16; 1 = Less than $10,000, 16 = $500,000 or more)","No",6.737,3.4959,30144,1,1351,16,143,NA,NA,6.6454,3.7573,4758,1,472,16,48,NA,NA,0.1149,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Out-of_Power",NA,"liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 5 PRL items (norm_judges, norm_polling, norm_executive, norm_censorship, norm_loyalty), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.6621,0.2098,31606,0,228,1,1443,NA,NA,0.5554,0.2407,5348,0,89,1,214,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
