"Sample","Sample_Description","Variable","Variable_Label","Weighted","Mean (Control)","SD (Control)","N (Control)","Min (Control)","N at Min (Control)","Max (Control)","N at Max (Control)","Count_0 (Control)","Count_1 (Control)","Mean (Treatment)","SD (Treatment)","N (Treatment)","Min (Treatment)","N at Min (Treatment)","Max (Treatment)","N at Max (Treatment)","Count_0 (Treatment)","Count_1 (Treatment)","P-Value (t-test)","Control_Group_Label","Treatment_Group_Label"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.0338,0.1808,3106,0,3001,1,105,3001,105,0.0593,0.2367,236,0,222,1,14,222,14,0.1064,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.0148,0.1208,3106,0,3060,1,46,3060,46,0.0042,0.0651,236,0,235,1,1,235,1,0.0269,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.0251,0.1565,3106,0,3028,1,78,3028,78,0.0508,0.2202,236,0,224,1,12,224,12,0.0792,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.1738,0.3791,1628,0,1345,1,283,1345,283,0.1613,0.369,155,0,130,1,25,130,25,0.6871,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0909,0.2876,1628,0,1480,1,148,1480,148,0.2452,0.4316,155,0,117,1,38,117,38,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.0467,0.211,1628,0,1552,1,76,1552,76,0.0774,0.2681,155,0,143,1,12,143,12,0.1673,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.016,0.1254,1628,0,1602,1,26,1602,26,0,0,155,0,155,0,155,155,0,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.0301,0.1709,1628,0,1579,1,49,1579,49,0.0581,0.2346,155,0,146,1,9,146,9,0.1495,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.0149,0.1211,1478,0,1456,1,22,1456,22,0.0123,0.1111,81,0,80,1,1,80,1,0.8425,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0568,0.2316,1478,0,1394,1,84,1394,84,0.0494,0.218,81,0,77,1,4,77,4,0.766,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.0196,0.1387,1478,0,1449,1,29,1449,29,0.0247,0.1561,81,0,79,1,2,79,2,0.7755,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.0135,0.1156,1478,0,1458,1,20,1458,20,0.0123,0.1111,81,0,80,1,1,80,1,0.9258,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.0196,0.1387,1478,0,1449,1,29,1449,29,0.037,0.19,81,0,78,1,3,78,3,0.4185,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.0971,0.2962,2667,0,2408,1,259,2408,259,0.1164,0.3216,189,0,167,1,22,167,22,0.4241,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0731,0.2604,2667,0,2472,1,195,2472,195,0.1587,0.3664,189,0,159,1,30,159,30,0.0018,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.0337,0.1806,2667,0,2577,1,90,2577,90,0.0529,0.2244,189,0,179,1,10,179,10,0.2524,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.0139,0.117,2667,0,2630,1,37,2630,37,0.0053,0.0727,189,0,188,1,1,188,1,0.1371,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.024,0.1531,2667,0,2603,1,64,2603,64,0.0423,0.2019,189,0,181,1,8,181,8,0.2225,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.0872,0.2825,367,0,335,1,32,335,32,0.0889,0.2878,45,0,41,1,4,41,4,0.9703,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0954,0.2941,367,0,332,1,35,332,35,0.2667,0.4472,45,0,33,1,12,33,12,0.0157,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.0354,0.1851,367,0,354,1,13,354,13,0.0889,0.2878,45,0,41,1,4,41,4,0.2299,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.0191,0.137,367,0,360,1,7,360,7,0,0,45,0,45,0,45,45,0,0.008,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.0327,0.1781,367,0,355,1,12,355,12,0.0889,0.2878,45,0,41,1,4,41,4,0.2067,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
