"Sample","Sample_Description","Variable","Variable_Label","Weighted","Mean (Control)","SD (Control)","N (Control)","Min (Control)","N at Min (Control)","Max (Control)","N at Max (Control)","Count_0 (Control)","Count_1 (Control)","Mean (Treatment)","SD (Treatment)","N (Treatment)","Min (Treatment)","N at Min (Treatment)","Max (Treatment)","N at Max (Treatment)","Count_0 (Treatment)","Count_1 (Treatment)","P-Value (t-test)","Control_Group_Label","Treatment_Group_Label"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","age_2012_election","Age in years at the November 2012 presidential election","No",43.717,15.7727,1061,18.0643394934976,1,72.7994524298426,1,NA,NA,14.5584,2.4834,96,9.88637919233402,1,17.9630390143737,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.5047,0.5002,1054,0,522,1,532,522,532,0.4479,0.4999,96,0,53,1,43,53,43,0.2886,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.3531,2.0405,1048,1,61,8,49,NA,NA,3.1915,1.6479,94,1,6,8,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",10.849,6.783,1020,1,119,22,58,NA,NA,8.0729,6.6495,96,1,18,22,3,NA,NA,2e-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.0552,0.2286,1050,0,992,1,58,992,58,0.1053,0.3085,95,0,85,1,10,85,10,0.126,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0952,0.2937,1050,0,950,1,100,950,100,0.1684,0.3762,95,0,79,1,16,79,16,0.0678,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.039,0.1938,1050,0,1009,1,41,1009,41,0.0316,0.1758,95,0,92,1,3,92,3,0.695,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.0429,0.2026,1050,0,1005,1,45,1005,45,0.0421,0.2019,95,0,91,1,4,91,4,0.9723,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.0495,0.2171,1050,0,998,1,52,998,52,0.0316,0.1758,95,0,92,1,3,92,3,0.3529,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Independents","Respondents self-identifying as Independent on the 7-point party ID scale (ANES V201231x codes 3–5, including leaners); excludes pure Democrats and Republicans","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.743,0.1779,1040,0.057856716504167,1,1,40,NA,NA,0.6731,0.2102,96,0.082492404146227,2,1,2,NA,NA,0.0021,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","age_2012_election","Age in years at the November 2012 presidential election","No",47.0506,15.8519,3126,18.0396988364134,1,72.848733744011,1,NA,NA,14.2412,2.3982,235,9.91101984941821,1,17.9137577002053,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.4376,0.4962,3115,0,1752,1,1363,1752,1363,0.4298,0.4961,235,0,134,1,101,134,101,0.817,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.5997,2.0403,3078,1,123,8,173,NA,NA,3.671,1.7852,231,1,16,8,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",12.0924,6.6854,3040,1,273,22,184,NA,NA,10.0681,7.413,235,1,42,22,19,NA,NA,1e-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.0978,0.2972,3107,0,2803,1,304,2803,304,0.1149,0.3196,235,0,208,1,27,208,27,0.4288,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0747,0.2629,3107,0,2875,1,232,2875,232,0.1787,0.3839,235,0,193,1,42,193,42,1e-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.0338,0.1807,3107,0,3002,1,105,3002,105,0.0596,0.2372,235,0,221,1,14,221,14,0.1042,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.0148,0.1208,3107,0,3061,1,46,3061,46,0.0043,0.0652,235,0,234,1,1,234,1,0.0278,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.0251,0.1565,3107,0,3029,1,78,3029,78,0.0511,0.2206,235,0,223,1,12,223,12,0.0778,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.7774,0.1738,3082,0,1,1,318,NA,NA,0.7556,0.1886,233,0.082492404146227,2,1,12,NA,NA,0.0884,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","age_2012_election","Age in years at the November 2012 presidential election","No",46.2233,15.9451,1641,18.0396988364134,1,72.848733744011,1,NA,NA,14.0919,2.4084,155,9.91101984941821,1,17.9137577002053,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.3857,0.4869,1636,0,1005,1,631,1005,631,0.3677,0.4838,155,0,98,1,57,98,57,0.6594,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.8555,2.08,1619,1,66,8,122,NA,NA,3.7039,1.7897,152,1,10,8,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",12.0137,6.8281,1604,1,150,22,101,NA,NA,9.7161,7.387,155,1,29,22,9,NA,NA,3e-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.1732,0.3786,1628,0,1346,1,282,1346,282,0.1677,0.3748,155,0,129,1,26,129,26,0.8623,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0909,0.2876,1628,0,1480,1,148,1480,148,0.2452,0.4316,155,0,117,1,38,117,38,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.0467,0.211,1628,0,1552,1,76,1552,76,0.0774,0.2681,155,0,143,1,12,143,12,0.1673,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.016,0.1254,1628,0,1602,1,26,1602,26,0,0,155,0,155,0,155,155,0,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.0301,0.1709,1628,0,1579,1,49,1579,49,0.0581,0.2346,155,0,146,1,9,146,9,0.1495,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.8439,0.1673,1625,0,1,1,301,NA,NA,0.7823,0.2069,153,0.082492404146227,2,1,12,NA,NA,5e-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","age_2012_election","Age in years at the November 2012 presidential election","No",47.9648,15.703,1485,18.1108829568789,1,72.8459958932238,1,NA,NA,14.5304,2.3664,80,9.93292265571526,1,17.82340862423,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.4949,0.5001,1479,0,747,1,732,747,732,0.55,0.5006,80,0,36,1,44,36,44,0.3405,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.316,1.9572,1459,1,57,8,51,NA,NA,3.6076,1.7861,79,1,6,7,3,NA,NA,0.001,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",12.1804,6.5235,1436,1,123,22,83,NA,NA,10.75,7.4621,80,1,13,22,10,NA,NA,0.0968,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.0149,0.1211,1479,0,1457,1,22,1457,22,0.0125,0.1118,80,0,79,1,1,79,1,0.8542,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0568,0.2315,1479,0,1395,1,84,1395,84,0.05,0.2193,80,0,76,1,4,76,4,0.7885,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.0196,0.1387,1479,0,1450,1,29,1450,29,0.025,0.1571,80,0,78,1,2,78,2,0.7644,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","race_Native","Race dummy: Native American / Alaskan Native (1 = Yes, 0 = No; reference = White)","No",0.0135,0.1155,1479,0,1459,1,20,1459,20,0.0125,0.1118,80,0,79,1,1,79,1,0.9368,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","race_Other","Race dummy: Other race (1 = Yes, 0 = No; reference = White)","No",0.0196,0.1387,1479,0,1450,1,29,1450,29,0.0375,0.1912,80,0,77,1,3,77,3,0.4115,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.7032,0.1491,1457,0.082492404146227,3,1,17,NA,NA,0.7046,0.1344,80,0.417708714815759,1,0.952002776870901,1,NA,NA,0.9295,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","age_2012_election","Age in years at the November 2012 presidential election","No",47.5339,15.778,2680,18.1108829568789,1,72.848733744011,1,NA,NA,14.1616,2.444,189,9.91101984941821,1,17.9137577002053,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.4427,0.4968,2672,0,1489,1,1183,1489,1183,0.4444,0.4982,189,0,105,1,84,105,84,0.9638,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.5705,2.0359,2640,1,106,8,141,NA,NA,3.6378,1.7888,185,1,13,8,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",12.0758,6.6331,2612,1,228,22,154,NA,NA,10.2275,7.4195,189,1,32,22,16,NA,NA,0.001,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Black","Race dummy: Black / African-American (1 = Yes, 0 = No; reference category = White; derived from ANES V201549x)","No",0.0967,0.2957,2667,0,2409,1,258,2409,258,0.1217,0.3278,189,0,166,1,23,166,23,0.31,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Hispanic","Race dummy: Hispanic / Latino (1 = Yes, 0 = No; reference = White)","No",0.0731,0.2604,2667,0,2472,1,195,2472,195,0.1587,0.3664,189,0,159,1,30,159,30,0.0018,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","race_Asian","Race dummy: Asian / Asian-American (1 = Yes, 0 = No; reference = White)","No",0.0337,0.1806,2667,0,2577,1,90,2577,90,0.0529,0.2244,189,0,179,1,10,179,10,0.2524,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
