"Sample","Sample_Description","Variable","Variable_Label","Weighted","Mean (Control)","SD (Control)","N (Control)","Min (Control)","N at Min (Control)","Max (Control)","N at Max (Control)","Count_0 (Control)","Count_1 (Control)","Mean (Treatment)","SD (Treatment)","N (Treatment)","Min (Treatment)","N at Min (Treatment)","Max (Treatment)","N at Max (Treatment)","Count_0 (Treatment)","Count_1 (Treatment)","P-Value (t-test)","Control_Group_Label","Treatment_Group_Label"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","age_2012_election","Age in years at the November 2012 presidential election","No",47.0504,15.8568,3125,18.0616016427105,1,72.8459958932238,1,NA,NA,14.2228,2.3987,236,9.86447638603696,2,17.9000684462697,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.4374,0.4961,3114,0,1752,1,1362,1752,1362,0.4322,0.4964,236,0,134,1,102,134,102,0.8774,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.6022,2.0405,3077,1,122,8,174,NA,NA,3.6422,1.7671,232,1,17,7,8,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",12.0964,6.684,3039,1,272,22,184,NA,NA,10.0254,7.4124,236,1,43,22,19,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Partisans","Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.7777,0.1733,3081,0,1,1,318,NA,NA,0.752,0.1931,234,0.082492404146227,3,1,12,NA,NA,0.0491,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","age_2012_election","Age in years at the November 2012 presidential election","No",46.211,15.9533,1641,18.0616016427105,1,72.8432580424367,1,NA,NA,14.0532,2.384,155,9.86447638603696,1,17.9000684462697,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.3851,0.4868,1636,0,1006,1,630,1006,630,0.3742,0.4855,155,0,97,1,58,97,58,0.7898,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.8598,2.0793,1619,1,65,8,123,NA,NA,3.6579,1.7684,152,1,11,7,5,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",12.0187,6.8244,1604,1,149,22,101,NA,NA,9.6645,7.4059,155,1,30,22,9,NA,NA,2e-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Democrats","Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2)","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.8442,0.1664,1625,0,1,1,301,NA,NA,0.7786,0.2129,153,0.082492404146227,3,1,12,NA,NA,3e-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","age_2012_election","Age in years at the November 2012 presidential election","No",47.9785,15.7026,1484,18.0889801505818,1,72.8459958932238,1,NA,NA,14.5474,2.408,81,9.86447638603696,1,17.8617385352498,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.4953,0.5001,1478,0,746,1,732,746,732,0.5432,0.5012,81,0,37,1,44,37,44,0.4041,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.3162,1.9579,1458,1,57,8,51,NA,NA,3.6125,1.7753,80,1,6,7,3,NA,NA,9e-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",12.1833,6.5249,1435,1,123,22,83,NA,NA,10.716,7.4216,81,1,13,22,10,NA,NA,0.0851,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Republicans","Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7)","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.7034,0.1491,1456,0.082492404146227,3,1,17,NA,NA,0.7015,0.1363,81,0.417708714815759,1,0.952002776870901,1,NA,NA,0.9065,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","age_2012_election","Age in years at the November 2012 presidential election","No",47.5234,15.7892,2680,18.0616016427105,1,72.8459958932238,1,NA,NA,14.114,2.447,189,9.86447638603696,2,17.8918548939083,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.4427,0.4968,2672,0,1489,1,1183,1489,1183,0.4444,0.4982,189,0,105,1,84,105,84,0.9638,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.572,2.037,2640,1,106,8,142,NA,NA,3.6162,1.7597,185,1,13,7,7,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",12.0762,6.6338,2612,1,228,22,154,NA,NA,10.2222,7.4093,189,1,32,22,16,NA,NA,0.001,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Win","Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.7788,0.1716,2640,0,1,1,284,NA,NA,0.7635,0.1805,187,0.082492404146227,1,1,9,NA,NA,0.2644,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","age_2012_election","Age in years at the November 2012 presidential election","No",42.9535,15.876,371,18.0889801505818,1,72.8432580424367,1,NA,NA,14.5598,2.1517,45,9.98220396988364,1,17.9000684462697,1,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","sex","Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)","No",0.4146,0.4933,369,0,216,1,153,216,153,0.3778,0.4903,45,0,28,1,17,28,17,0.6361,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","education","Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)","No",4.8082,2.0586,365,1,12,8,28,NA,NA,3.7778,1.7951,45,1,3,7,1,NA,NA,7e-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","income","Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)","No",12.648,6.9676,358,1,35,22,27,NA,NA,9.3556,7.5773,45,1,11,22,3,NA,NA,0.0077,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
"Expect In-Party Loss","Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary)","liberal_index","Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted","No",0.7693,0.1802,369,0.082492404146227,2,1,26,NA,NA,0.7015,0.234,45,0.082492404146227,2,1,2,NA,NA,0.0663,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
