Sample,Sample_Description,Variable,Variable_Label,Weighted,Mean (Control),SD (Control),N (Control),Min (Control),N at Min (Control),Max (Control),N at Max (Control),Count_0 (Control),Count_1 (Control),Mean (Treatment),SD (Treatment),N (Treatment),Min (Treatment),N at Min (Treatment),Max (Treatment),N at Max (Treatment),Count_0 (Treatment),Count_1 (Treatment),P-Value (t-test),Control_Group_Label,Treatment_Group_Label
Partisans,Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded,age_2012_election,Age in years at the November 2012 presidential election,No,47.4034,16.5255,3069,NA,NA,NA,NA,NA,NA,14.4493,2.3403,228,NA,NA,NA,NA,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Partisans,Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded,sex,"Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)",No,0.4363,0.496,3062,0,1726,1,1336,1726,1336,0.4342,0.4967,228,0,129,1,99,129,99,0.9508,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Partisans,Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded,education,"Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)",No,4.5972,2.0422,3021,1,122,8,169,NA,NA,3.6161,1.7577,224,1,16,NA,NA,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Partisans,Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded,income,"Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)",No,12.0689,6.685,2991,1,270,22,179,NA,NA,10.193,7.4282,228,1,40,22,19,NA,NA,3.00E-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Partisans,Respondents self-identifying as Democrat or Republican (ANES V201231x codes 1–2 or 6–7); Independents (codes 3–5) excluded,liberal_index,"Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted",No,0.7781,0.1735,3028,NA,NA,1,313,NA,NA,0.7499,0.1882,226,NA,NA,1,10,NA,NA,0.0298,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Democrats,Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2),age_2012_election,Age in years at the November 2012 presidential election,No,46.5418,16.5599,1626,NA,NA,NA,NA,NA,NA,14.2578,2.3372,147,NA,NA,NA,NA,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Democrats,Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2),sex,"Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)",No,0.3853,0.4868,1622,0,997,1,625,997,625,0.3741,0.4856,147,0,92,1,55,92,55,0.7896,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Democrats,Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2),education,"Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)",No,4.8541,2.0774,1604,1,66,8,119,NA,NA,3.625,1.7536,144,1,10,NA,NA,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Democrats,Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2),income,"Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)",No,11.9812,6.8333,1593,1,151,22,99,NA,NA,9.9184,7.436,147,1,27,NA,NA,NA,NA,0.0014,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Democrats,Respondents self-identifying as Democrat or leaning Democrat (ANES V201231x codes 1–2),liberal_index,"Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted",No,0.8441,0.1672,1611,NA,NA,1,299,NA,NA,0.7764,0.2081,145,NA,NA,1,10,NA,NA,2.00E-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Republicans,Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7),age_2012_election,Age in years at the November 2012 presidential election,No,48.3742,16.4385,1443,NA,NA,NA,NA,NA,NA,14.7969,2.32,81,NA,NA,NA,NA,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Republicans,Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7),sex,"Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)",No,0.4938,0.5001,1440,0,729,1,711,729,711,0.5432,0.5012,81,0,37,1,44,37,44,0.3898,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Republicans,Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7),education,"Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)",No,4.3063,1.962,1417,1,56,8,50,NA,NA,3.6,1.7761,80,NA,NA,NA,NA,NA,NA,9.00E-04,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Republicans,Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7),income,"Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)",No,12.1688,6.5129,1398,1,119,22,80,NA,NA,10.6914,7.4341,81,1,13,22,10,NA,NA,0.0836,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Republicans,Respondents self-identifying as Republican or leaning Republican (ANES V201231x codes 6–7),liberal_index,"Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted",No,0.7032,0.1484,1417,NA,NA,1,14,NA,NA,0.7025,0.1349,81,NA,NA,NA,NA,NA,NA,0.9641,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Expect In-Party Win,Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary),age_2012_election,Age in years at the November 2012 presidential election,No,47.8713,16.39,2637,NA,NA,NA,NA,NA,NA,14.3192,2.3815,184,NA,NA,NA,NA,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Expect In-Party Win,Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary),sex,"Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)",No,0.4422,0.4967,2632,0,1468,1,1164,1468,1164,0.4457,0.4984,184,0,102,1,82,102,82,0.9287,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Expect In-Party Win,Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary),education,"Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)",No,4.5718,2.0387,2597,1,105,8,139,NA,NA,3.5778,1.7527,180,1,13,NA,NA,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Expect In-Party Win,Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary),income,"Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)",No,12.0656,6.6356,2576,1,225,22,151,NA,NA,10.3424,7.4267,184,1,31,22,16,NA,NA,0.0025,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Expect In-Party Win,Partisan respondents (non-Independents) who expected their own party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary),liberal_index,"Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted",No,0.7798,0.1713,2600,NA,NA,1,281,NA,NA,0.7593,0.1799,182,NA,NA,NA,NA,NA,NA,0.1385,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Expect In-Party Loss,Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary),age_2012_election,Age in years at the November 2012 presidential election,No,43.2446,16.9309,361,NA,NA,NA,NA,NA,NA,14.8959,2.0969,42,NA,NA,NA,NA,NA,NA,0,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Expect In-Party Loss,Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary),sex,"Sex: binary indicator (1 = Male, 0 = Female; recoded from ANES V201600)",No,0.4056,0.4917,360,0,214,1,146,214,146,0.381,0.4915,42,0,26,1,16,26,16,0.7601,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Expect In-Party Loss,Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary),education,"Education level (ANES V201510; ordinal 1–16; 1 = Less than 1st grade, 16 = Doctorate)",No,4.7775,2.0663,355,1,13,8,27,NA,NA,3.8095,1.7702,42,NA,NA,NA,NA,NA,NA,0.0018,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Expect In-Party Loss,Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary),income,"Household income (ANES V202468x; ordinal 1–22; 1 = Under $9,999, 22 = $250,000 or more)",No,12.4957,6.9541,349,1,36,22,25,NA,NA,9.7143,7.6167,42,NA,NA,NA,NA,NA,NA,0.0285,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
Expect In-Party Loss,Partisan respondents (non-Independents) who expected the opposing party's candidate to win the 2020 presidential election (derived from ANES V201217 crossed with party_summary),liberal_index,"Liberal Democratic Norms Index: 1-factor principal-axis score of 7 ANES items (V201366, V201367, V201368, V201369, V201372x, V201375x, V201376), rescaled to [0, 1]; higher = stronger support for liberal democratic norms; unweighted",No,0.7653,0.1841,359,NA,NA,1,24,NA,NA,0.7065,0.2174,42,NA,NA,NA,NA,NA,NA,0.0987,"Born on or before November 6, 1994 (treatment = 0): eligible to vote in the 2012 presidential election","Born after November 6, 1994 (treatment = 1): first eligible presidential election was 2016"
,,,,,,,,,,,,,,,,,,,,,,,,,
"In the following columns (N at Min (Control), Min(Control), N at Max (Control), Max(Control)), NA means that fewer than 10 observations were at that specific value",,,,,,,,,,,,,,,,,,,,,,,,,
