"Subgroup","treatment","Bin_60days","N","Mean_Liberal_Index","SD_Liberal_Index","Treatment_Label","Outcome","Bin_Width_Days"
"Expect In-Party Loss",0,"(-2.1e+03,-2.04e+03]",3,0.8654,0.1781,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-1.8e+03,-1.74e+03]",1,0.9877,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-1.74e+03,-1.68e+03]",2,0.8705,0.0186,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-1.68e+03,-1.62e+03]",1,0.5053,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-1.62e+03,-1.56e+03]",1,0.4759,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-1.56e+03,-1.5e+03]",3,0.8177,0.2022,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-1.5e+03,-1.44e+03]",3,0.8848,0.1426,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-1.38e+03,-1.32e+03]",2,0.9102,0.0922,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-1.2e+03,-1.14e+03]",3,0.8675,0.1332,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-1.14e+03,-1.08e+03]",1,0.801,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-1.08e+03,-1.02e+03]",1,0.7302,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-1.02e+03,-960]",2,0.9423,0.0815,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-960,-900]",2,0.9755,0,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-840,-780]",5,0.607,0.1926,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-780,-720]",2,0.75,0.3536,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-720,-660]",1,0.7769,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-600,-540]",1,0.8931,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-540,-480]",2,0.5974,0.3992,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-420,-360]",2,0.5366,0.5148,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-360,-300]",2,0.8223,0.0349,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-300,-240]",1,0.9755,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-240,-180]",1,0.915,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-120,-60]",3,0.8128,0.0905,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",0,"(-60,0]",1,0.2599,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(0,60]",1,0.0825,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(60,120]",1,0.0825,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(120,180]",1,0.7124,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(180,240]",1,0.8287,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(240,300]",1,0.7637,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(300,360]",1,0.8708,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(360,420]",2,0.914,0.0708,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(420,480]",1,0.6375,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(480,540]",2,0.6999,0.2826,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(600,660]",3,0.8947,0.1615,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(660,720]",1,0.8686,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(720,780]",1,1,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(780,840]",1,0.7455,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(840,900]",1,0.7553,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(960,1.02e+03]",1,0.9304,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(1.02e+03,1.08e+03]",2,0.7097,0.1134,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(1.2e+03,1.26e+03]",2,0.7008,0.0216,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(1.26e+03,1.32e+03]",2,0.9196,0.0402,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(1.32e+03,1.38e+03]",2,0.6692,0.0017,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(1.38e+03,1.44e+03]",1,0.7917,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(1.56e+03,1.62e+03]",3,0.5371,0.3171,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(1.8e+03,1.86e+03]",1,0.5333,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(1.86e+03,1.92e+03]",3,0.5699,0.3619,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(1.98e+03,2.04e+03]",1,0.6105,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(2.1e+03,2.16e+03]",1,0.8147,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(2.16e+03,2.22e+03]",2,0.7986,0.0888,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(2.22e+03,2.28e+03]",1,0.8395,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(2.28e+03,2.34e+03]",1,0.951,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(2.46e+03,2.52e+03]",1,0.537,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(2.52e+03,2.58e+03]",1,0.4408,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(2.58e+03,2.64e+03]",1,0.4425,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Loss",1,"(2.88e+03,2.94e+03]",1,0.5,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"[-4.02e+03,-3.96e+03]",1,0.92,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.96e+03,-3.9e+03]",3,0.8919,0.1572,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.9e+03,-3.84e+03]",14,0.7183,0.1956,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.84e+03,-3.78e+03]",7,0.707,0.2486,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.78e+03,-3.72e+03]",8,0.782,0.1967,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.72e+03,-3.66e+03]",6,0.814,0.1106,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.66e+03,-3.6e+03]",11,0.6817,0.1589,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.6e+03,-3.54e+03]",5,0.7123,0.1906,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.54e+03,-3.48e+03]",9,0.7434,0.1989,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.48e+03,-3.42e+03]",8,0.6757,0.257,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.42e+03,-3.36e+03]",5,0.7977,0.2369,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.36e+03,-3.3e+03]",9,0.7344,0.2006,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.3e+03,-3.24e+03]",7,0.7775,0.1682,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.24e+03,-3.18e+03]",12,0.6728,0.1587,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.18e+03,-3.12e+03]",6,0.8745,0.2066,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.12e+03,-3.06e+03]",11,0.674,0.1387,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3.06e+03,-3e+03]",8,0.7942,0.1875,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-3e+03,-2.94e+03]",5,0.8358,0.1969,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.94e+03,-2.88e+03]",9,0.6996,0.2354,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.88e+03,-2.82e+03]",6,0.7679,0.12,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.82e+03,-2.76e+03]",5,0.6307,0.2605,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.76e+03,-2.7e+03]",8,0.7694,0.2234,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.7e+03,-2.64e+03]",8,0.6785,0.2915,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.64e+03,-2.58e+03]",6,0.7673,0.1763,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.58e+03,-2.52e+03]",8,0.8489,0.1615,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.52e+03,-2.46e+03]",6,0.8632,0.1878,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.46e+03,-2.4e+03]",7,0.7324,0.1967,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.4e+03,-2.34e+03]",9,0.7991,0.1756,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.34e+03,-2.28e+03]",5,0.8293,0.1924,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.28e+03,-2.22e+03]",3,0.6815,0.4235,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.22e+03,-2.16e+03]",8,0.8172,0.1585,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.16e+03,-2.1e+03]",7,0.7281,0.224,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.1e+03,-2.04e+03]",6,0.8781,0.1146,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-2.04e+03,-1.98e+03]",3,0.62,0.1073,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.98e+03,-1.92e+03]",3,0.7295,0.0883,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.92e+03,-1.86e+03]",6,0.698,0.1177,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.86e+03,-1.8e+03]",9,0.8347,0.1458,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.8e+03,-1.74e+03]",7,0.6871,0.2535,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.74e+03,-1.68e+03]",3,0.7209,0.2247,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.68e+03,-1.62e+03]",11,0.7531,0.2207,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.62e+03,-1.56e+03]",8,0.6881,0.1833,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.56e+03,-1.5e+03]",9,0.7679,0.1957,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.5e+03,-1.44e+03]",11,0.8066,0.1641,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.44e+03,-1.38e+03]",7,0.7648,0.1874,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.38e+03,-1.32e+03]",9,0.736,0.2273,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.32e+03,-1.26e+03]",6,0.7895,0.2184,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.26e+03,-1.2e+03]",7,0.892,0.0751,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.2e+03,-1.14e+03]",6,0.7649,0.1129,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.14e+03,-1.08e+03]",7,0.8003,0.2006,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.08e+03,-1.02e+03]",6,0.8009,0.2404,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-1.02e+03,-960]",4,0.9329,0.0842,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-960,-900]",9,0.827,0.1672,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-900,-840]",3,0.5359,0.2851,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-840,-780]",7,0.7331,0.1955,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-780,-720]",4,0.6794,0.2401,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-720,-660]",2,0.6692,0.3825,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-660,-600]",8,0.7942,0.166,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-600,-540]",6,0.9077,0.0466,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-540,-480]",5,0.5669,0.3118,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-480,-420]",8,0.5954,0.2744,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-420,-360]",9,0.7881,0.212,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-360,-300]",8,0.742,0.2008,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-300,-240]",3,0.3523,0.2365,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-240,-180]",5,0.6989,0.153,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-180,-120]",6,0.775,0.2297,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-120,-60]",8,0.7146,0.1273,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",0,"(-60,0]",5,0.6891,0.1145,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(0,60]",2,0.6624,0.2899,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(60,120]",5,0.7607,0.1858,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(120,180]",4,0.8541,0.0462,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(180,240]",11,0.7296,0.1264,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(240,300]",3,0.9374,0.0955,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(300,360]",7,0.8141,0.1469,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(360,420]",2,0.6807,0.4515,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(420,480]",3,0.5735,0.3597,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(480,540]",4,0.7853,0.0714,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(540,600]",5,0.8401,0.1243,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Expect In-Party Win",1,"(600,660]",6,0.7966,0.1535,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
