"Subgroup","treatment","Bin_60days","N","Mean_Liberal_Index","SD_Liberal_Index","Treatment_Label","Outcome","Bin_Width_Days"
"Democrats",0,"(-2.94e+03,-2.88e+03]",6,0.8083,0.1809,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.88e+03,-2.82e+03]",2,0.9076,0.1307,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.82e+03,-2.76e+03]",3,0.6399,0.3145,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.76e+03,-2.7e+03]",3,0.9744,0.0321,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.7e+03,-2.64e+03]",6,0.7859,0.341,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.64e+03,-2.58e+03]",6,0.785,0.1986,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.58e+03,-2.52e+03]",6,0.9302,0.1015,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.52e+03,-2.46e+03]",6,0.8965,0.146,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.46e+03,-2.4e+03]",3,0.8825,0.1068,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.4e+03,-2.34e+03]",3,0.9087,0.1582,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.34e+03,-2.28e+03]",5,0.8341,0.1818,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.28e+03,-2.22e+03]",2,0.8283,0.2039,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.22e+03,-2.16e+03]",4,0.9636,0.021,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.16e+03,-2.1e+03]",5,0.7588,0.2018,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.1e+03,-2.04e+03]",6,0.943,0.0822,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-2.04e+03,-1.98e+03]",2,0.6794,0.0439,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.98e+03,-1.92e+03]",2,0.7804,0.0079,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.92e+03,-1.86e+03]",2,0.725,0.1164,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.86e+03,-1.8e+03]",5,0.8544,0.1367,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.8e+03,-1.74e+03]",4,0.8645,0.2192,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.74e+03,-1.68e+03]",3,0.8958,0.069,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.68e+03,-1.62e+03]",7,0.7728,0.1923,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.62e+03,-1.56e+03]",3,0.8345,0.214,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.56e+03,-1.5e+03]",6,0.8153,0.2104,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.5e+03,-1.44e+03]",10,0.8665,0.1338,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.44e+03,-1.38e+03]",4,0.8202,0.2353,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.38e+03,-1.32e+03]",7,0.8082,0.2143,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.32e+03,-1.26e+03]",5,0.768,0.2369,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.26e+03,-1.2e+03]",5,0.9223,0.0561,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.2e+03,-1.14e+03]",6,0.8282,0.1284,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.14e+03,-1.08e+03]",6,0.8544,0.1538,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.08e+03,-1.02e+03]",3,0.8192,0.26,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-1.02e+03,-960]",5,0.9618,0.0449,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-960,-900]",7,0.8225,0.1933,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-900,-840]",1,0.8372,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-840,-780]",6,0.7537,0.1835,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-780,-720]",4,0.8168,0.2219,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-720,-660]",2,0.8583,0.1151,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-660,-600]",6,0.868,0.1114,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-600,-540]",6,0.9124,0.0427,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-540,-480]",5,0.652,0.2573,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-480,-420]",3,0.7822,0.1972,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-420,-360]",10,0.7272,0.2795,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-360,-300]",6,0.7678,0.2397,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-300,-240]",2,0.529,0.6314,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-240,-180]",3,0.7372,0.2041,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-180,-120]",5,0.8388,0.1883,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-120,-60]",6,0.8148,0.107,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",0,"(-60,0]",4,0.6733,0.1258,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(0,60]",2,0.475,0.555,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(60,120]",4,0.6763,0.4123,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(120,180]",4,0.8342,0.0837,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(180,240]",5,0.7848,0.0688,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(240,300]",2,0.9924,0.0107,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(300,360]",5,0.9103,0.0667,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(360,420]",4,0.7973,0.2963,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(420,480]",3,0.6467,0.3336,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(480,540]",2,0.68,0.2546,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(540,600]",4,0.8881,0.0726,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(600,660]",5,0.9638,0.0611,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(660,720]",4,0.8966,0.0988,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(720,780]",3,0.8201,0.2779,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(780,840]",1,0.7455,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(840,900]",5,0.868,0.1202,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(900,960]",2,0.8871,0.0322,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(960,1.02e+03]",2,0.8351,0.1347,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.02e+03,1.08e+03]",5,0.7023,0.1362,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.08e+03,1.14e+03]",2,0.7831,0.0288,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.2e+03,1.26e+03]",4,0.796,0.1122,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.26e+03,1.32e+03]",3,0.9239,0.0294,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.32e+03,1.38e+03]",1,0.668,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.38e+03,1.44e+03]",4,0.861,0.069,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.44e+03,1.5e+03]",4,0.6726,0.3974,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.5e+03,1.56e+03]",2,0.8361,0.2318,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.56e+03,1.62e+03]",6,0.7142,0.2792,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.62e+03,1.68e+03]",2,0.6785,0.2998,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.68e+03,1.74e+03]",4,0.8831,0.0591,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.74e+03,1.8e+03]",1,0.8728,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.8e+03,1.86e+03]",3,0.8294,0.2566,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.86e+03,1.92e+03]",5,0.7192,0.3276,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(1.92e+03,1.98e+03]",2,0.903,0.0381,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.04e+03,2.1e+03]",5,0.7847,0.2347,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.1e+03,2.16e+03]",3,0.6864,0.2379,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.16e+03,2.22e+03]",1,0.8614,NA,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.22e+03,2.28e+03]",4,0.6443,0.1818,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.28e+03,2.34e+03]",5,0.8325,0.1965,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.34e+03,2.4e+03]",4,0.868,0.1075,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.4e+03,2.46e+03]",7,0.7515,0.2586,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.46e+03,2.52e+03]",3,0.6719,0.2547,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.52e+03,2.58e+03]",2,0.4552,0.0204,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.58e+03,2.64e+03]",3,0.7814,0.2945,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.7e+03,2.76e+03]",2,0.8586,0.1027,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.76e+03,2.82e+03]",2,0.4506,0.1129,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.88e+03,2.94e+03]",4,0.5467,0.0719,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Democrats",1,"(2.94e+03,3e+03]",3,0.8021,0.1903,"Born after Nov 6, 1994 (Treatment, treatment=1)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"[-4.02e+03,-3.96e+03]",4,0.801,0.2839,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.96e+03,-3.9e+03]",5,0.7437,0.1715,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.9e+03,-3.84e+03]",6,0.7807,0.1721,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.84e+03,-3.78e+03]",3,0.7039,0.1465,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.78e+03,-3.72e+03]",4,0.9057,0.0844,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.72e+03,-3.66e+03]",5,0.5946,0.3077,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.66e+03,-3.6e+03]",4,0.6154,0.1435,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.6e+03,-3.54e+03]",3,0.776,0.2146,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.54e+03,-3.48e+03]",7,0.8318,0.147,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.48e+03,-3.42e+03]",6,0.7689,0.1558,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.42e+03,-3.36e+03]",9,0.7268,0.1816,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.36e+03,-3.3e+03]",4,0.7574,0.1508,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.3e+03,-3.24e+03]",3,0.533,0.0476,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.24e+03,-3.18e+03]",1,0.9725,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.18e+03,-3.12e+03]",3,0.5466,0.4068,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.12e+03,-3.06e+03]",2,0.8491,0.0469,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3.06e+03,-3e+03]",5,0.8238,0.0937,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-3e+03,-2.94e+03]",1,0.6729,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.94e+03,-2.88e+03]",7,0.8328,0.1436,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.88e+03,-2.82e+03]",1,0.6984,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.82e+03,-2.76e+03]",1,0.4572,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.76e+03,-2.7e+03]",1,0.6896,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.7e+03,-2.64e+03]",5,0.5896,0.1901,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.64e+03,-2.58e+03]",4,0.8304,0.1546,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.58e+03,-2.52e+03]",6,0.8812,0.1198,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.52e+03,-2.46e+03]",2,0.6974,0.1899,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.46e+03,-2.4e+03]",2,0.772,0.0967,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.4e+03,-2.34e+03]",4,0.6307,0.2464,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.34e+03,-2.28e+03]",3,0.6366,0.1226,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.28e+03,-2.22e+03]",5,0.5616,0.3048,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.22e+03,-2.16e+03]",2,0.7894,0.0137,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.16e+03,-2.1e+03]",3,0.6655,0.4635,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.1e+03,-2.04e+03]",3,0.5497,0.4467,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-2.04e+03,-1.98e+03]",1,0.7895,NA,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.98e+03,-1.92e+03]",2,0.7037,0.1118,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.92e+03,-1.86e+03]",2,0.7123,0.0478,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.86e+03,-1.8e+03]",3,0.7753,0.0883,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.8e+03,-1.74e+03]",4,0.6518,0.2173,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.74e+03,-1.68e+03]",8,0.7112,0.1843,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.68e+03,-1.62e+03]",3,0.7072,0.1907,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.62e+03,-1.56e+03]",4,0.8137,0.2073,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.5e+03,-1.44e+03]",4,0.8759,0.0955,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.44e+03,-1.38e+03]",5,0.7608,0.2335,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.38e+03,-1.32e+03]",4,0.7381,0.1653,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.32e+03,-1.26e+03]",7,0.8223,0.242,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.26e+03,-1.2e+03]",7,0.6989,0.1947,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.2e+03,-1.14e+03]",6,0.7124,0.1882,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.14e+03,-1.08e+03]",2,0.8314,0.1861,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.08e+03,-1.02e+03]",3,0.7284,0.1089,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-1.02e+03,-960]",10,0.6866,0.184,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-960,-900]",2,0.8498,0.1736,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-900,-840]",2,0.6589,0.2248,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
"Independents",0,"(-840,-780]",4,0.7175,0.3749,"Born on/before Nov 6, 1994 (Control, treatment=0)","Liberal Democratic Norms Index (0-1)",60
